target,ids,user,text,text_cleaned
0,2055570591,AgainstClint,@jts8820 ,
0,2263456735,fazm,"I hate Sundays. Bloody bored now, secretly dying inside ",hate sunday bloodi bore secretli die insid
0,1752532396,sharkbait1687,double sad face ,doubl sad face
0,1694063289,leafiness,@nathantamayo Oh lunch is peanut butter + what I thought ws jam..but is actually disgusting marmalade  whatï¿½s for midnight snack?,oh lunch peanut butter thought w jambut actual disgust marmalad whatï¿½ midnight snack
0,2053651051,SBlyahoff,"has some argues with his damn conscience about a certain happenings lately... it's a tuff discussion, folks! I might not get trough it.. ",argu damn conscienc certain happen late tuff discus folk might get trough
0,2202859151,gabeezy,i wanna get a frosty real quick. lol too bad no one wants to go ,wan na get frosti real quick lol bad one want go
0,2186074805,aibaninosuki,@sableheart omg!! that sounds serious!! hope you can get well soon ,omg sound seriou hope get well soon
0,1553674980,delphilicious,We just finished 10 seasons of Friends in two months  Now what are we going to watch?!!??!,finish season friend two month go watch
0,2252469406,CanonicalBabble,"While I am all about it, I sometimes think contacting my representative (Burris) will only get my cause laughed at in the senate. ",sometim think contact repres burri get caus laugh senat
0,1685564418,zafarali,restaurant city made me browser crash! ,restaur citi made browser crash
0,2055463263,Tanya_xO,Their all leaving me and going to lakeside  and im stuck doing my assignment then goin to work! ,leav go lakesid im stuck assign goin work
0,2054965706,tanyahh_xx,is feeling so ill ,feel ill
0,2244189634,lesliemiley,today in class we saw the world trade center movie i started to cry ,today class saw world trade center movi start cri
0,2053402154,mattmo74,What happend to the sun ,happend sun
0,2259697739,AmyGrindhouse,"@MissJia Gurl, where you at? ",gurl
0,2288158802,PEKCommando,upset i'm not a finalist in the @collective_soul contest ,upset im finalist contest
0,1573761859,AllenPower,Susan is heading to Greenville for her mother&quot;s eye surgery. With my travel and her travel I won't see her again until Thursday night. ,susan head greenvil motherquot eye surgeri travel travel wont see thursday night
0,2066166788,DiSi87,@AcePower it's not msn it's my internet ,msn internet
0,2259157654,ooshibaba,"oh i cant believe the weekend is almost over.then work starts back up  in Redlands, CA",oh cant believ weekend almost overthen work start back redland ca
0,1979661381,clarararalet,"my fav online shows like antm c12, gg, everybody hates chris, bgt are all gone! guess there's only ausntm to survive on! ",fav onlin show like antm c gg everybodi hate chri bgt gone guess there ausntm surviv
0,2242326494,mingsmom,@AndreaWHarris I'm sorry.  Back pain sucks.,im sorri back pain suck
